Numéro CAS;Nom SA;Source;Date;Nom;valeur;Unite;Etude(s) pivot(s) 1;NOAEL de l'Ètude pivot 1;Unité NOAEL étude pivot 1;Etude(s) pivot(s) 2;Facteur de sécurité;F.correction (abs. orale lim.)
66332-96-5;flutolanil;UE;27/11/2008;AOEL;0,56;mg/kg/j;90 jours, voie orale, chien;80;mg/kg p.c./j;;100;70%
907204-31-3;fluxapyroxad;UE;01/01/2013;ARFD;0,25;mg/kg pc;TÈratogenËse, voie orale, lapin;25;mg/kg p.c./j;TÈratogenËse, voie orale, rat;100;non nécessaire
907204-31-3;fluxapyroxad;UE;01/01/2013;AOEL;0,04;mg/kg/j;90 jours, voie orale, rat;6;mg/kg p.c./j;;100;68%
907204-31-3;fluxapyroxad;UE;01/01/2013;DJA;0,02;mg/kg/j;2 ans, voie orale, rat;2,1;mg/kg p.c./j;;100;non nécessaire
133-07-3;folpel;UE;01/10/2007;DJA;0,1;mg/kg/j;1 an, voie orale, chien;10;mg/kg p.c./j;;100;non nécessaire
133-07-3;folpel;UE;01/10/2007;ARFD;0,2;mg/kg pc;TÈratogenËse, voie orale, lapin;20;mg/kg p.c./j;;100;non nécessaire
133-07-3;folpel;UE;01/10/2007;AOEL;0,1;mg/kg/j;TÈratogenËse, voie orale, lapin;10;mg/kg p.c./j;;100;non nécessaire
173159-57-4;foramsulfuron;UE;01/06/2020;AOEL;0,1;mg/kg/j;TÈratogenËse, voie orale, lapin;50;mg/kg p.c./j;;100;20%
173159-57-4;foramsulfuron;UE;01/06/2020;ARFD;non pertinent;;;;;;;non nécessaire
173159-57-4;foramsulfuron;UE;01/06/2020;DJA;0,25;mg/kg/j;2 ans, voie orale, rat;25;mg/kg p.c./j;;100;non nécessaire
68157-60-8;forchlorfenuron;UE;01/06/2018;DJA;0,05;mg/kg/j;2 ans, voie orale, souris;5;mg/kg p.c./j;;100;non nécessaire
68157-60-8;forchlorfenuron;UE;01/06/2018;AAOEL;0,5;mg/kg pc;TÈratogenËse, voie orale, lapin;50;mg/kg/p.c./j;;100;non nécessaire
68157-60-8;forchlorfenuron;UE;01/06/2018;ARFD;0,5;mg/kg pc;TÈratogenËse, voie orale, lapin;50;mg/kg/p.c./j;;100;non nécessaire
68157-60-8;forchlorfenuron;UE;01/06/2018;AOEL;0,16;mg/kg/j;90 jours, voie orale, rat;16,2;mg/kg p.c./j;;100;non nécessaire
23422-53-9;formetanate;UE;29/09/2006;ARFD;0,005;mg/kg pc;NeurotoxicitÈ, voie orale, rat, aigue;0,5;mg/kg p.c./j;;100;non nécessaire
23422-53-9;formetanate;UE;29/09/2006;AOEL;0,004;mg/kg/j;1 an, voie orale, chien;0,4;mg/kg p.c./j;29 jours, voie orale, chien;100;non nécessaire
23422-53-9;formetanate;UE;29/09/2006;DJA;0,004;mg/kg/j;1 an, voie orale, chien;0,4;mg/kg p.c./j;;100;non nécessaire
39148-24-8;fosetyl-al;UE;01/05/2007;AOEL;5;mg/kg/j;Autre(s) Ètude(s);500;mg/kg p.c./j;Etude mÈcanistique 90 jours, voie orale, rat,;100;non nécessaire
39148-24-8;fosetyl-al;UE;01/05/2007;DJA;3;mg/kg/j;2 ans, voie orale, chien;298;mg/kg p.c./j;2 ans, voie orale, rat;100;non nécessaire
39148-24-8;fosetyl-al;UE;01/05/2007;ARFD;non pertinent;;;;;;;non nécessaire
98886-44-3;fosthiazate;UE;04/07/2003;ARFD;0,005;mg/kg pc;90 jours et 1 an, voie orale, chien;0,5;mg/kg p.c./j;;100;non nécessaire
98886-44-3;fosthiazate;UE;04/07/2003;DJA;0,004;mg/kg/j;2 ans, voie orale, rat;0,4;mg/kg p.c./j;;100;non nécessaire
98886-44-3;fosthiazate;UE;04/07/2003;AOEL;0,005;mg/kg/j;90 jours et 1 an, voie orale, chien;0,5;mg/kg p.c./j;;100;non nécessaire
76703-62-3;gamma cyhalothrine;UE;01/04/2015;AOEL;0,0003;mg/kg/j;Etude multigÈnÈrations,voie orale, rat;0,5;mg/kg p.c./j;;400;25%
76703-62-3;gamma cyhalothrine;UE;01/04/2015;ARFD;0,0025;mg/kg pc;1 an, voie orale, chien;0,5;mg/kg p.c./j;;200;non nécessaire
76703-62-3;gamma cyhalothrine;UE;01/04/2015;DJA;0,0012;mg/kg/j;Etude multigÈnÈrations,voie orale, rat;0,5;mg/kg p.c./j;;400;non nécessaire
8030-53-3 (mÈlange);gibberelline A4 A7;UE;01/09/2009;DJA;0,3;mg/kg/j;Etude multigÈnÈrations,voie orale, rat;300;mg/kg/p.c./j;;1000;non nécessaire
8030-53-3 (mÈlange);gibberelline A4 A7;UE;01/09/2009;ARFD;non pertinent;;;;;;;non nécessaire
8030-53-3 (mÈlange);gibberelline A4 A7;UE;01/09/2009;AOEL;0,18;mg/kg/j;Etude multigÈnÈrations,voie orale, rat;300;mg/kg/p.c./j;TÈratogenËse, voie orale, lapin;300;18%
1071-83-6;glyphosate;UE;28/11/2023;AOEL;0,1;mg/kg/j;90 jours, voie orale, chien;53;mg/kg p.c./j;covering maternal toxicity in rabbit developmental toxicity studies;100;20%
1071-83-6;glyphosate;UE;28/11/2023;AAOEL;0,3;mg/kg pc;Autre(s) Ètude(s);150;mg/kg/p.c./j;DÈveloppement, lapin;100;20%
1071-83-6;glyphosate;UE;28/11/2023;ARFD;1,5;mg/kg pc;Autre(s) Ètude(s);150;mg/kg/p.c./j;DÈveloppement, lapin;100;non nécessaire
1071-83-6;glyphosate;UE;28/11/2023;DJA;0,5;mg/kg/j;90 jours, voie orale, chien;53;mg/kg p.c./j;covering maternal toxicity in rabbit developmental toxicity studies;100;non nécessaire
98999-15-6;Graisses de mouton;UE;01/09/2009;DJA;non pertinent;;;;;;;non nécessaire
98999-15-6;Graisses de mouton;UE;01/09/2009;AOEL;non pertinent;;;;;;;non nécessaire
98999-15-6;Graisses de mouton;UE;01/09/2009;ARFD;non pertinent;;;;;;;non nécessaire
943831-98-9;halauxifen-methyl;UE;05/08/2015;DJA;0,058;mg/kg/j;TÈratogenËse, voie orale, lapin;5,8;mg/kg/p.c./j;;100;non nécessaire
943831-98-9;halauxifen-methyl;UE;05/08/2015;ARFD;0,058;mg/kg pc;TÈratogenËse, voie orale, lapin;5,8;mg/kg/p.c./j;;100;non nécessaire
943831-98-9;halauxifen-methyl;UE;05/08/2015;AOEL;0,058;mg/kg/j;TÈratogenËse, voie orale, lapin;5,8;mg/kg/p.c./j;;100;non nécessaire
100784-20-1;halosulfuron-mÈthyl;UE;01/10/2013;ARFD;0,5;mg/kg pc;TÈratogenËse, voie orale, lapin;50;mg/kg/p.c./j;;100;non nécessaire
100784-20-1;halosulfuron-mÈthyl;UE;01/10/2013;AOEL;0,063;mg/kg/j;Etude multigÈnÈrations,voie orale, rat;6,3;mg/kg/p.c./j;;100;non nécessaire
100784-20-1;halosulfuron-mÈthyl;UE;01/10/2013;DJA;0,063;mg/kg/j;Etude multigÈnÈrations,voie orale, rat;6,3;mg/kg/p.c./j;;100;non nécessaire
870721-81-6;heptamaloxyloglucan;UE;01/06/2010;DJA;non pertinent;;;;;;;non nécessaire
870721-81-6;heptamaloxyloglucan;UE;01/06/2010;ARFD;non pertinent;;;;;;;non nécessaire
870721-81-6;heptamaloxyloglucan;UE;01/06/2010;AOEL;non pertinent;;;;;;;non nécessaire
78587-05-0;hexythiazox;UE;01/06/2011;ARFD;non pertinent;;;;;;;non nécessaire
78587-05-0;hexythiazox;UE;01/06/2011;AOEL;0,009;mg/kg/j;1 an, voie orale, chien;2,87;mg/kg p.c./j;;100;30%
78587-05-0;hexythiazox;UE;01/06/2011;DJA;0,03;mg/kg/j;2 ans, voie orale, rat;3,2;mg/kg p.c./j;;100;non nécessaire
8002-13-9;huile de colza;UE;01/09/2009;AOEL;non pertinent;;;;;;;non nécessaire
8002-13-9;huile de colza;UE;01/09/2009;DJA;non pertinent;;;;;;;non nécessaire
8002-13-9;huile de colza;UE;01/09/2009;ARFD;non pertinent;;;;;;;non nécessaire
8000-34-8;huile de girofle;UE;01/12/2007;ARFD;2,5;mg/kg pc;TÈratogenËse, voie orale, rat;250;mg/kg/p.c./j;TÈratogenËse, voie orale, lapin;100;non nécessaire
8000-34-8;huile de girofle;UE;01/12/2007;DJA;1;mg/kg/j;TÈratogenËse, voie orale, rat;100;mg/kg p.c./j;TÈratogenËse, voie orale, lapin;100;non nécessaire
8000-34-8;huile de girofle;UE;01/12/2007;AOEL;1;mg/kg/j;TÈratogenËse, voie orale, rat;100;mg/kg p.c./j;TÈratogenËse, voie orale, lapin;100;non nécessaire
8008-79-5;huile de menthe verte;UE;18/12/2008;ARFD;non pertinent;;;;;;;non nécessaire
8008-79-5;huile de menthe verte;UE;18/12/2008;DJA;0,252;mg/kg/j;Autre(s) Ètude(s);;;;;non nécessaire
8008-79-5;huile de menthe verte;UE;18/12/2008;AOEL;0,252;mg/kg/j;;;;(exprimÈe en L-carvone) sur la base de la consommation alimentaire journaliËre humaine (US EPA);;non nécessaire
64742-46-7;huile de paraffine (CAS 64742-46-7);UE;01/01/2010;DJA;non pertinent;;;;;;;non nécessaire
64742-46-7;huile de paraffine (CAS 64742-46-7);UE;01/01/2010;ARFD;non pertinent;;;;;;;non nécessaire
64742-46-7;huile de paraffine (CAS 64742-46-7);UE;01/01/2010;AOEL;non pertinent;;;;;;;non nécessaire
72623-86-0;huile de paraffine (CAS 72623-86-0);UE;01/01/2010;ARFD;non pertinent;;;;;;;non nécessaire
72623-86-0;huile de paraffine (CAS 72623-86-0);UE;01/01/2010;DJA;non pertinent;;;;;;;non nécessaire
72623-86-0;huile de paraffine (CAS 72623-86-0);UE;01/01/2010;AOEL;non pertinent;;;;;;;non nécessaire
97862-82-3;huile de paraffine (CAS 97862-82-3;UE;01/01/2010;AOEL;non pertinent;;;;;;;non nécessaire
97862-82-3;huile de paraffine (CAS 97862-82-3;UE;01/01/2010;DJA;non pertinent;;;;;;;non nécessaire
97862-82-3;huile de paraffine (CAS 97862-82-3;UE;01/01/2010;ARFD;non pertinent;;;;;;;non nécessaire
100085-40-3;Huile de poisson;UE;01/09/2009;ARFD;non pertinent;;;;;;;non nécessaire
100085-40-3;Huile de poisson;UE;01/09/2009;DJA;non pertinent;;;;;;;non nécessaire
100085-40-3;Huile de poisson;UE;01/09/2009;AOEL;non pertinent;;;;;;;non nécessaire
8028-48-6 (orange oil);huile essentielle d'orange;CES_PHYTO;15/07/2009;DJA;non pertinent;;;;;;;non nécessaire
8028-48-6 (orange oil);huile essentielle d'orange;GRED;15/09/2020;AOEL;0,57;mg/kg/j;;;;derived of the MSDI (Maximised Survey-derived Daily Intake) of D-limonene;;non nécessaire
8028-48-6 (orange oil);huile essentielle d'orange;CES_PHYTO;15/07/2009;ARFD;non pertinent;;;;;;;non nécessaire
123-33-1;hydrazide maleique;UE;01/11/2017;DJA;0,25;mg/kg/j;2 ans, voie orale, rat;25;mg/kg p.c./j;;100;non nécessaire
123-33-1;hydrazide maleique;UE;01/11/2017;AAOEL;non pertinent;;;;;;;non nécessaire
123-33-1;hydrazide maleique;UE;01/11/2017;AOEL;0,25;mg/kg/j;1 an, voie orale, chien;25;mg/kg p.c./j;28 jours, inhalation, rat;100;non nécessaire
123-33-1;hydrazide maleique;UE;01/11/2017;ARFD;non pertinent;;;;;;;non nécessaire
298-14-6;hydrogÈnocarbonate de potassium;UE;06/07/2021;AAOEL;non pertinent;;;;;;;non nécessaire
298-14-6;hydrogÈnocarbonate de potassium;UE;06/07/2021;DJA;non pertinent;;;;;;;non nécessaire
298-14-6;hydrogÈnocarbonate de potassium;UE;06/07/2021;AOEL;149;mg/kg/j;Autre(s) Ètude(s);;;sur la base de la consommation alimentaire journaliËre humaine;1;non nécessaire
298-14-6;hydrogÈnocarbonate de potassium;UE;06/07/2021;ARFD;non pertinent;;;;;;;non nécessaire
148-24-3;hydroxy-8-quinoleine;UE;01/01/2012;AOEL;0,05;mg/kg/j;TÈratogenËse, voie orale, lapin;5;mg/kg/p.c./j;;100;non nécessaire
148-24-3;hydroxy-8-quinoleine;UE;01/01/2012;DJA;0,05;mg/kg/j;TÈratogenËse, voie orale, lapin;5;mg/kg/p.c./j;;100;non nécessaire
148-24-3;hydroxy-8-quinoleine;UE;01/01/2012;ARFD;0,05;mg/kg pc;TÈratogenËse, voie orale, lapin;5;mg/kg/p.c./j;;100;non nécessaire
10004-44-1;hymexazol;UE;01/11/2010;ARFD;0,5;mg/kg pc;TÈratogenËse, voie orale, lapin;50;mg/kg p.c./j;;100;non nécessaire
10004-44-1;hymexazol;UE;01/11/2010;AOEL;0,17;mg/kg/j;1 an, voie orale, chien;17;mg/kg p.c./j;;100;non nécessaire
10004-44-1;hymexazol;UE;01/11/2010;DJA;0,17;mg/kg/j;1 an, voie orale, chien;17;mg/kg p.c./j;;100;non nécessaire
35554-44-0;imazalil;UE;01/01/2012;ARFD;0,05;mg/kg pc;TÈratogenËse, voie orale, lapin;5;mg/kg p.c./j;;100;non nécessaire
35554-44-0;imazalil;UE;01/01/2012;DJA;0,025;mg/kg/j;1 an, voie orale, chien;2,5;mg/kg p.c./j;;100;non nécessaire
35554-44-0;imazalil;UE;01/01/2012;AOEL;0,05;mg/kg/j;Autre(s) Ètude(s);5;mg/kg p.c./j;6 mois, voie orale, rat;100;non nécessaire
114311-32-9;imazamox;UE;01/11/2017;AOEL;2,25;mg/kg/j;TÈratogenËse, voie orale, lapin;300;mg/kg p.c./j;;100;75%
114311-32-9;imazamox;UE;01/11/2017;ARFD;3;mg/kg pc;TÈratogenËse, voie orale, lapin;300;mg/kg/p.c./j;;100;non nécessaire
114311-32-9;imazamox;UE;01/11/2017;DJA;3;mg/kg/j;TÈratogenËse, voie orale, lapin;300;mg/kg p.c./j;;100;non nécessaire
144550-36-7;iodosulfuron;UE;01/04/2017;AOEL;0,05;mg/kg/j;90 jours et 1 an, voie orale, chien;7;mg/kg p.c./j;;100;70%
144550-36-7;iodosulfuron;UE;01/04/2017;ARFD;3,15;mg/kg pc;NeurotoxicitÈ du dÈveloppement, rat;315;mg/kg/p.c./j;;100;non nécessaire
144550-36-7;iodosulfuron;UE;01/04/2017;DJA;0,03;mg/kg/j;2 ans, voie orale, rat;3;mg/kg p.c./j;;100;non nécessaire
125225-28-7;ipconazole;UE;01/09/2014;ARFD;0,015;mg/kg pc;TÈratogenËse, voie orale, rat;3;mg/kg/p.c./j;;200;non nécessaire
125225-28-7;ipconazole;UE;01/09/2014;DJA;0,015;mg/kg/j;1 an, voie orale, chien;1,5;mg/kg/p.c./j;;100;non nécessaire
125225-28-7;ipconazole;UE;01/09/2014;AOEL;0,015;mg/kg/j;TÈratogenËse, voie orale, rat;3;mg/kg/p.c./j;;200;non nécessaire
140923-17-7;iprovalicarbe;UE;01/04/2016;AOEL;0,015;mg/kg/j;1 an, voie orale, chien;3;mg/kg p.c./j;;200;non nécessaire
140923-17-7;iprovalicarbe;UE;01/04/2016;ARFD;non pertinent;;;;;;;non nécessaire
140923-17-7;iprovalicarbe;UE;01/04/2016;DJA;0,015;mg/kg/j;1 an, voie orale, chien;3;mg/kg p.c./j;;200;non nécessaire
875915-78-9;isofÈtamide;UE;15/09/2016;DJA;0,02;mg/kg/j;1 an, voie orale, chien;1,57;mg/kg/p.c./j;;100;non nécessaire
875915-78-9;isofÈtamide;UE;15/09/2016;AOEL;0,05;mg/kg/j;1 an, voie orale, chien;5,34;mg/kg/p.c./j;;100;non nécessaire
875915-78-9;isofÈtamide;UE;15/09/2016;ARFD;1;mg/kg pc;TÈratogenËse, voie orale, lapin;100;mg/kg/p.c./j;;100;non nécessaire
881685-58-1;isopyrazam;UE;08/01/2014;ARFD;0,2;mg/kg pc;TÈratogenËse, voie orale, rat;20;mg/kg/p.c./j;;100;non nécessaire
881685-58-1;isopyrazam;UE;08/01/2014;DJA;0,03;mg/kg/j;2 ans, voie orale, rat;5,5;mg/kg/p.c./j;;200;non nécessaire
881685-58-1;isopyrazam;UE;08/01/2014;AOEL;0,05;mg/kg/j;Etude multigÈnÈrations,voie orale, rat;8;mg/kg/p.c./j;;100;64%
82558-50-7;isoxaben;UE;01/06/2011;DJA;0,05;mg/kg/j;2 ans, voie orale, rat;5;mg/kg p.c./j;;100;non nécessaire
82558-50-7;isoxaben;UE;01/06/2011;AOEL;0,25;mg/kg/j;90 jours et 1 an, voie orale, chien;110;mg/kg p.c./j;;435;23%
82558-50-7;isoxaben;UE;01/06/2011;ARFD;non pertinent;;;;;;;non nécessaire
141112-29-0;isoxaflutole;UE;22/03/2019;DJA;0,02;mg/kg/j;2 ans, voie orale, rat;2;mg/kg p.c./j;Reproduction sur deux gÈnÈrations, rat;100;non nécessaire
141112-29-0;isoxaflutole;UE;22/03/2019;AAOEL;0,03;mg/kg pc;TÈratogenËse, voie orale, lapin;2;mg/kg/p.c./j;;100;60%
141112-29-0;isoxaflutole;UE;22/03/2019;ARFD;0,05;mg/kg pc;TÈratogenËse, voie orale, lapin;5;mg/kg/p.c./j;;100;non nécessaire
141112-29-0;isoxaflutole;UE;22/03/2019;AOEL;0,012;mg/kg/j;Etude multigÈnÈrations,voie orale, rat;2;mg/kg p.c./j;;100;60%
1332-58-7;kaolin;UE;01/09/2009;AOEL;non pertinent;;;;;;;non nécessaire
1332-58-7;kaolin;UE;01/09/2009;DJA;non pertinent;;;;;;;non nécessaire
1332-58-7;kaolin;UE;01/09/2009;ARFD;non pertinent;;;;;;;non nécessaire
61790-53-2;kieselgur (terre ‡ diatomÈes);UE;01/01/2021;DJA;non pertinent;;;;;;;non nécessaire
61790-53-2;kieselgur (terre ‡ diatomÈes);UE;01/01/2021;AOEC;0,01;mg/m3;Autre(s) Ètude(s);;;Rat, 28 jours par inhalation;100;non nécessaire
61790-53-2;kieselgur (terre ‡ diatomÈes);UE;01/01/2021;ARFD;non pertinent;;;;;;;non nécessaire
61790-53-2;kieselgur (terre ‡ diatomÈes);UE;01/01/2021;AOEL;non pertinent;;;;;;;non nécessaire
61790-53-2;kieselgur (terre ‡ diatomÈes);UE;01/01/2021;AAOEL;non pertinent;;;;;;;non nécessaire
143390-89-0;kresoxim methyl;UE;01/01/2012;DJA;0,4;mg/kg/j;2 ans, voie orale, rat;36;mg/kg p.c./j;;100;non nécessaire
143390-89-0;kresoxim methyl;UE;01/01/2012;ARFD;non pertinent;;;;;;;non nécessaire
143390-89-0;kresoxim methyl;UE;01/01/2012;AOEL;0,9;mg/kg/j;90 jours, voie orale, rat;146;mg/kg p.c./j;1 an, voie orale, chien;100;63%
91465-08-6;lambda cyhalothrine;UE;01/04/2016;ARFD;0,005;mg/kg pc;1 an, voie orale, chien;0,5;mg/kg p.c./j;;100;non nécessaire
91465-08-6;lambda cyhalothrine;UE;01/04/2016;AOEL;0,00063;mg/kg/j;Etude multigÈnÈrations,voie orale, rat;0,5;mg/kg p.c./j;;200;25%
91465-08-6;lambda cyhalothrine;UE;01/04/2016;DJA;0,0025;mg/kg/j;Etude multigÈnÈrations,voie orale, rat;0,5;mg/kg p.c./j;;200;non nécessaire
9008-22-4;laminarine;UE;01/03/2018;AOEL;non pertinent;;;;;;;non nécessaire
9008-22-4;laminarine;UE;01/03/2018;AAOEL;non pertinent;;;;;;;non nécessaire
9008-22-4;laminarine;UE;01/03/2018;ARFD;non pertinent;;;;;;;non nécessaire
9008-22-4;laminarine;UE;01/03/2018;DJA;non pertinent;;;;;;;non nécessaire
2164-08-1†;lenacile;UE;31/12/2008;AOEL;0,4;mg/kg/j;90 jours, voie orale, rat;41;mg/kg p.c./j;90 jours, voie orale, chien;100;non nécessaire
2164-08-1†;lenacile;UE;31/12/2008;DJA;0,12;mg/kg/j;2 ans, voie orale, rat;12;mg/kg/p.c./j;;100;non nécessaire
2164-08-1†;lenacile;UE;31/12/2008;ARFD;non pertinent;;;;;;;non nécessaire
9050-36-6;maltodextrine;UE;15/03/2013;ARFD;non pertinent;;;;;;;non nécessaire
9050-36-6;maltodextrine;UE;15/03/2013;DJA;non pertinent;;;;;;;non nécessaire
9050-36-6;maltodextrine;UE;15/03/2013;AOEL;non pertinent;;;;;;;non nécessaire
173662-97-0;mandestrobine;UE;09/12/2015;AOEL;0,19;mg/kg/j;1 an, voie orale, chien;19;mg/kg/p.c./j;soutenue par la LOAEL parentale d'une Ètude multigÈnÈration, rat avec application d'un FS de 300;100;non nécessaire
173662-97-0;mandestrobine;UE;09/12/2015;ARFD;non pertinent;;;;;;;non nécessaire
173662-97-0;mandestrobine;UE;09/12/2015;DJA;0,19;mg/kg/j;1 an, voie orale, chien;19;mg/kg/p.c./j;soutenue par la LOAEL parentale d'une Ètude multigÈnÈration, rat avec application d'un FS de 300;100;non nécessaire
374726-62-2;mandipropamide;UE;01/08/2013;DJA;0,15;mg/kg/j;2 ans, voie orale, rat;15;mg/kg p.c./j;;100;non nécessaire
374726-62-2;mandipropamide;UE;01/08/2013;AOEL;0,17;mg/kg/j;90 jours, voie orale, chien;25;mg/kg p.c./j;;100;70%
374726-62-2;mandipropamide;UE;01/08/2013;ARFD;non pertinent;;;;;;;non nécessaire
94-74-6;MCPA;UE;01/05/2006;ARFD;0,15;mg/kg pc;TÈratogenËse, voie orale, lapin;15;mg/kg p.c./j;;100;non nécessaire
94-74-6;MCPA;UE;01/05/2006;DJA;0,05;mg/kg/j;2 ans, voie orale, rat;1,3;mg/kg p.c./j;;100;non nécessaire
94-74-6;MCPA;UE;01/05/2006;AOEL;0,04;mg/kg/j;90 jours, voie orale, rat;4;mg/kg p.c./j;;100;non nécessaire
94-81-5;MCPB;UE;01/05/2006;AOEL;0,06;mg/kg/j;90 jours, voie orale, rat;6,3;mg/kg p.c./j;;100;non nécessaire
94-81-5;MCPB;UE;01/05/2006;DJA;0,01;mg/kg/j;2 ans, voie orale, rat;1,3;mg/kg p.c./j;;100;non nécessaire
94-81-5;MCPB;UE;01/05/2006;ARFD;0,05;mg/kg pc;TÈratogenËse, voie orale, lapin;5;mg/kg p.c./j;;100;non nécessaire
16484-77-8;mecoprop-P;UE;15/04/2003;AOEL;0,04;mg/kg/j;90 jours, voie orale, rat et chien;4;mg/kg p.c./j;;100;non nécessaire
16484-77-8;mecoprop-P;UE;15/04/2003;DJA;0,01;mg/kg/j;2 ans, voie orale, rat;1,1;mg/kg p.c./j;;100;non nécessaire
16484-77-8;mecoprop-P;UE;15/04/2003;ARFD;non pertinent;;;;;;;non nécessaire
135590-91-9;mefenpyr diethyl;GRED;19/03/2013;DJA;0,1;mg/kg/j;1 an, voie orale, chien;11;mg/kg p.c./j;2 ans, voie orale, souris;100;non nécessaire
135590-91-9;mefenpyr diethyl;GRED;19/03/2013;AOEL;0,1;mg/kg/j;90 jours, voie orale, chien;15;mg/kg p.c./j;;100;73%
135590-91-9;mefenpyr diethyl;GRED;19/03/2013;ARFD;0,4;mg/kg pc;TÈratogenËse, voie orale, lapin;40;mg/kg/p.c./j;;100;non nécessaire
1417782-03-6;mÈfentrifluconazole;UE;26/01/2021;DJA;0,035;mg/kg/j;18 mois, voie orale, souris;3,5;mg/kg/p.c./j;;100;non nécessaire
1417782-03-6;mÈfentrifluconazole;UE;26/01/2021;AOEL;0,035;mg/kg/j;90 jours, voie orale, souris;3,5;mg/kg/p.c./j;;100;non nécessaire
1417782-03-6;mÈfentrifluconazole;UE;26/01/2021;ARFD;0,15;mg/kg pc;TÈratogenËse, voie orale, lapin;15;mg/kg/p.c./j;;100;non nécessaire
1417782-03-6;mÈfentrifluconazole;UE;26/01/2021;AAOEL;0,15;mg/kg pc;TÈratogenËse, voie orale, lapin;15;mg/kg/p.c./j;;100;non nécessaire
"a-terpi: 99-86-5; p-cym: 99-87-6; d-limo:5986-27-5";MÈlange de terpÈnoÔdes QRD 460;UE;10/08/2015;AOEL;0,49;mg/kg/j;Autre(s) Ètude(s);;;Approche MSDI (Maximum Survey Derived Intake) basÈ sur un apport de 34,5 mg/j et pc = 70 kg;1;non nécessaire
110235-47-7;mepanipyrim;UE;30/03/2004;DJA;0,02;mg/kg/j;2 ans, voie orale, rat;2,45;mg/kg p.c./j;;100;non nécessaire
110235-47-7;mepanipyrim;UE;30/03/2004;AOEL;0,07;mg/kg/j;90 jours, voie orale, rat;6,95;mg/kg p.c./j;;100;non nécessaire
110235-47-7;mepanipyrim;UE;30/03/2004;ARFD;non pertinent;;;;;;;non nécessaire
24307-26-4;mepiquat-chlorure;UE;25/11/2008;DJA;0,2;mg/kg/j;1 an, voie orale, chien;19,9;mg/kg p.c./j;;100;non nécessaire
24307-26-4;mepiquat-chlorure;UE;25/11/2008;ARFD;0,3;mg/kg pc;NeurotoxicitÈ du dÈveloppement, rat;30;mg/kg p.c./j;;100;non nécessaire
24307-26-4;mepiquat-chlorure;UE;25/11/2008;AOEL;0,3;mg/kg/j;90 jours, voie orale, chien;30,5;mg/kg p.c./j;;100;non nécessaire
6119-92-2;meptyldinocap;UE;01/04/2015;DJA;0,016;mg/kg/j;90 jours et 1 an, voie orale, chien;1,63;mg/kg p.c./j;;100;non nécessaire
6119-92-2;meptyldinocap;UE;01/04/2015;ARFD;0,12;mg/kg pc;TÈratogenËse, voie orale, lapin;12;mg/kg/p.c./j;;100;non nécessaire
6119-92-2;meptyldinocap;UE;01/04/2015;AOEL;0,008;mg/kg/j;90 jours et 1 an, voie orale, chien;1,63;mg/kg p.c./j;;100;50%
208465-21-8;mesosulfuron methyl;UE;01/07/2017;AOEL;0,13;mg/kg/j;90 jours, voie orale, chien;648;mg/kg p.c./j;;100;2%
208465-21-8;mesosulfuron methyl;UE;01/07/2017;AAOEL;non pertinent;;;;;;;non nécessaire
208465-21-8;mesosulfuron methyl;UE;01/07/2017;ARFD;non pertinent;;;;;;;non nécessaire
208465-21-8;mesosulfuron methyl;UE;01/07/2017;DJA;1;mg/kg/j;18 mois, voie orale, souris;103;mg/kg p.c./j;;100;non nécessaire
104206-82-8;mesotrione;UE;01/06/2017;DJA;0,01;mg/kg/j;MultigÈnÈration, voie orale, souris;2;mg/kg p.c./j;;200;non nécessaire
104206-82-8;mesotrione;UE;01/06/2017;AOEL;0,005;mg/kg/j;MultigÈnÈration, voie orale, souris;2;mg/kg p.c./j;;400;50%
104206-82-8;mesotrione;UE;01/06/2017;ARFD;0,02;mg/kg pc;MultigÈnÈration, voie orale, souris;2;mg/kg p.c./j;;100;non nécessaire
57837-19-1;metalaxyl;UE;01/07/2010;DJA;0,08;mg/kg/j;90 jours, voie orale, rat;8;mg/kg p.c./j;"26 semaines, voie orale chien; 2 ans, voie orale, chien";100;non nécessaire
57837-19-1;metalaxyl;UE;01/07/2010;ARFD;0,5;mg/kg pc;TÈratogenËse, voie orale, rat;50;mg/kg/p.c./j;…tude de dÈveloppement, rat;100;non nécessaire
57837-19-1;metalaxyl;UE;01/07/2010;AOEL;0,08;mg/kg/j;28 jours, voie orale, chien;8;mg/kg/p.c./j;"26 semaines, voie orale chien; 2 ans, voie orale, chien";100;non nécessaire
70630-17-0;metalaxyl-M;UE;01/06/2020;ARFD;0,5;mg/kg pc;TÈratogenËse, voie orale, rat;50;mg/kg/p.c./j;;100;non nécessaire
70630-17-0;metalaxyl-M;UE;01/06/2020;DJA;0,08;mg/kg/j;90 jours, voie orale, chien;8;mg/kg p.c./j;"26 semaines, voie orale chien ; 2 ans, voie orale, chien";100;non nécessaire
70630-17-0;metalaxyl-M;UE;01/06/2020;AOEL;0,08;mg/kg/j;90 jours, voie orale, chien;8;mg/kg p.c./j;"26 semaines, voie orale chien ; 2 ans, voie orale, chien";100;non nécessaire
108-62-3 (tetramer);metaldehyde;UE;01/06/2011;AOEL;0,1;mg/kg/j;1 an, voie orale, chien;10;mg/kg p.c./j;;100;non nécessaire
