Numero CAS;NOM SA;CLASSEMENT DATE;CLASSEMENT CATÉGORIE DANGER;CLASSEMENT CODE H;CLASSEMENT MENTION DANGER
78587-05-0;hexythiazox;19/05/2020;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
8002-13-9;huile de colza;23/06/2009;Sans classement;Sans classement;Sans classement
8000-34-8;huile de girofle;26/05/2011;Irritant pour la peau, catégorie 2;H315;Provoque une irritation cutanée
8000-34-8;huile de girofle;26/05/2011;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
8000-34-8;huile de girofle;26/05/2011;Lésions oculaires graves, catégorie 1;H318;Provoque des lésions oculaires graves
8000-34-8;huile de girofle;26/05/2011;Toxicité aiguë (par inhalation), catégorie 4;H332;Nocif par inhalation
8008-79-5;huile de menthe verte;28/09/2010;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
8008-79-5;huile de menthe verte;28/09/2010;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
8008-79-5;huile de menthe verte;28/09/2010;Danger par aspiration, catégorie 1;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires
8008-79-5;huile de menthe verte;28/09/2010;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
64742-46-7;huile de paraffine (CAS 64742-46-7);16/12/2008;Sans classement;Sans classement;Sans classement
72623-86-0;huile de paraffine (CAS 72623-86-0);16/12/2008;Sans classement;Sans classement;Sans classement
8042-47-5;huile de paraffine (CAS 8042-47-5);27/06/2023;Danger par aspiration, catégorie 1;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires
97862-82-3;huile de paraffine (CAS 97862-82-3;16/12/2008;Sans classement;Sans classement;Sans classement
100085-40-3;Huile de poisson;04/04/2023;Sans classement;Sans classement;Sans classement
8028-48-6;huile essentielle d'orange;21/11/2023;Danger par aspiration, catégorie 1;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires
8028-48-6;huile essentielle d'orange;21/11/2023;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
8028-48-6;huile essentielle d'orange;21/11/2023;Dangers pour le milieu aquatique - Danger chronique, catégorie 3;H412;Nocif pour les organismes aquatiques, entraine des effets néfastes à long terme
8028-48-6;huile essentielle d'orange;21/11/2023;Irritant pour la peau, catégorie 2;H315;Provoque une irritation cutanée
8028-48-6;huile essentielle d'orange;21/11/2023;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
123-33-1;hydrazide maleique;;Sans classement;Sans classement;Sans classement
298-14-6;hydrogénocarbonate de potassium;16/12/2015;Sans classement;Sans classement;Sans classement
148-24-3;hydroxy-8-quinoleine;04/05/2017;Toxicité pour la reproduction, catégorie 1B(D);H360D;Peut nuire au foetus
148-24-3;hydroxy-8-quinoleine;04/05/2017;Toxicité aiguë (par voie orale), catégorie 3;H301;Toxique en cas d'ingestion
148-24-3;hydroxy-8-quinoleine;04/05/2017;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
148-24-3;hydroxy-8-quinoleine;04/05/2017;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
148-24-3;hydroxy-8-quinoleine;04/05/2017;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
148-24-3;hydroxy-8-quinoleine;04/05/2017;Lésions oculaires graves, catégorie 1;H318;Provoque des lésions oculaires graves
10004-44-1;hymexazol;19/05/2020;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
10004-44-1;hymexazol;19/05/2020;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
10004-44-1;hymexazol;19/05/2020;Lésions oculaires graves, catégorie 1;H318;Provoque des lésions oculaires graves
10004-44-1;hymexazol;19/05/2020;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme
10004-44-1;hymexazol;19/05/2020;Toxicité pour la reproduction, catégorie 2(d);H361d;Susceptible de nuire au foetus
35554-44-0;imazalil;24/07/2015;Toxicité aiguë (par voie orale), catégorie 3;H301;Toxique en cas d'ingestion
35554-44-0;imazalil;24/07/2015;Toxicité aiguë (par inhalation), catégorie 4;H332;Nocif par inhalation
35554-44-0;imazalil;24/07/2015;Lésions oculaires graves, catégorie 1;H318;Provoque des lésions oculaires graves
35554-44-0;imazalil;24/07/2015;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
35554-44-0;imazalil;24/07/2015;Cancérogénicité, catégorie 2;H351;Susceptible de provoquer le cancer
114311-32-9;imazamox;11/03/2021;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
114311-32-9;imazamox;11/03/2021;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
114311-32-9;imazamox;11/03/2021;Toxicité pour la reproduction, catégorie 2(d);H361d;Susceptible de nuire au foetus
144550-36-7;iodosulfuron;16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
144550-36-7;iodosulfuron;16/12/2008;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
125225-28-7;ipconazole;19/05/2020;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
125225-28-7;ipconazole;19/05/2020;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
125225-28-7;ipconazole;19/05/2020;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée
125225-28-7;ipconazole;19/05/2020;Toxicité pour la reproduction, catégorie 1B(D);H360D;Peut nuire au foetus
140923-17-7;iprovalicarbe;19/05/2020;Cancérogénicité, catégorie 2;H351;Susceptible de provoquer le cancer
875915-78-9;isofétamide;14/03/2017;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme
881685-58-1;isopyrazam;16/02/2022;Toxicité pour la reproduction, catégorie 1B(D);H360D;Peut nuire au foetus
881685-58-1;isopyrazam;16/02/2022;Sensibilisation cutanée, catégorie 1B;H317;Peut provoquer une allergie cutanée
881685-58-1;isopyrazam;16/02/2022;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
881685-58-1;isopyrazam;16/02/2022;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
881685-58-1;isopyrazam;16/02/2022;Cancérogénicité, catégorie 2;H351;Susceptible de provoquer le cancer
82558-50-7;isoxaben;16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 4;H413;Peut être nocif à long terme pour les organismes aquatiques
141112-29-0;isoxaflutole;24/07/2015;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
141112-29-0;isoxaflutole;24/07/2015;Toxicité pour la reproduction, catégorie 2(d);H361d;Susceptible de nuire au foetus
141112-29-0;isoxaflutole;24/07/2015;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
1332-58-7;kaolin;;Sans classement;Sans classement;Sans classement
61790-53-2;kieselgur (terre à diatomées);01/04/2013;Sans classement;Sans classement;Sans classement
143390-89-0;kresoxim methyl;16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
143390-89-0;kresoxim methyl;16/12/2008;Cancérogénicité, catégorie 2;H351;Susceptible de provoquer le cancer
143390-89-0;kresoxim methyl;16/12/2008;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
91465-08-6;lambda cyhalothrine;10/08/2009;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
91465-08-6;lambda cyhalothrine;10/08/2009;Toxicité aiguë (par voie cutanée), catégorie 4;H312;Nocif par contact cutané
91465-08-6;lambda cyhalothrine;10/08/2009;Toxicité aiguë (par inhalation), catégorie 2;H330;Mortel par inhalation
91465-08-6;lambda cyhalothrine;10/08/2009;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
91465-08-6;lambda cyhalothrine;10/08/2009;Toxicité aiguë (par voie orale), catégorie 3;H301;Toxique en cas d'ingestion
9008-22-4;laminarine;19/02/2008;Sans classement;Sans classement;Sans classement
01/08/2164;lenacile;24/07/2015;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
01/08/2164;lenacile;24/07/2015;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
01/08/2164;lenacile;24/07/2015;Cancérogénicité, catégorie 2;H351;Susceptible de provoquer le cancer
9050-36-6;maltodextrine;27/10/2015;Sans classement;Sans classement;Sans classement
173662-97-0;mandestrobine;04/10/2020;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
173662-97-0;mandestrobine;04/10/2020;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
374726-62-2;mandipropamide;24/07/2015;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
374726-62-2;mandipropamide;24/07/2015;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
94-74-6;MCPA;10/08/2009;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
94-74-6;MCPA;10/08/2009;Lésions oculaires graves, catégorie 1;H318;Provoque des lésions oculaires graves
94-74-6;MCPA;10/08/2009;Irritant pour la peau, catégorie 2;H315;Provoque une irritation cutanée
94-74-6;MCPA;10/08/2009;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
94-74-6;MCPA;10/08/2009;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
94-81-5;MCPB;16/12/2008;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
94-81-5;MCPB;16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
16484-77-8;mecoprop-P;11/03/2021;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
16484-77-8;mecoprop-P;11/03/2021;Lésions oculaires graves, catégorie 1;H318;Provoque des lésions oculaires graves
16484-77-8;mecoprop-P;11/03/2021;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
16484-77-8;mecoprop-P;11/03/2021;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
135590-91-9;mefenpyr diethyl;10/05/2022;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme
1417782-03-6;méfentrifluconazole;19/05/2020;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
1417782-03-6;méfentrifluconazole;19/05/2020;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
1417782-03-6;méfentrifluconazole;19/05/2020;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
99-86-5 ou 99-87-6 ou 5986-27-5;Mélange de terpénoïdes QRD 460;09/07/2019;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
99-86-5 ou 99-87-6 ou 5986-27-5;Mélange de terpénoïdes QRD 460;09/07/2019;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
99-86-5 ou 99-87-6 ou 5986-27-5;Mélange de terpénoïdes QRD 460;09/07/2019;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
99-86-5 ou 99-87-6 ou 5986-27-5;Mélange de terpénoïdes QRD 460;09/07/2019;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
99-86-5 ou 99-87-6 ou 5986-27-5;Mélange de terpénoïdes QRD 460;09/07/2019;Danger par aspiration, catégorie 1;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires
110235-47-7;mepanipyrim;10/08/2009;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
110235-47-7;mepanipyrim;10/08/2009;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
110235-47-7;mepanipyrim;10/08/2009;Cancérogénicité, catégorie 2;H351;Susceptible de provoquer le cancer
24307-26-4;mepiquat-chlorure;16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 3;H412;Nocif pour les organismes aquatiques, entraine des effets néfastes à long terme
24307-26-4;mepiquat-chlorure;16/12/2008;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
6119-92-2;meptyldinocap;30/01/2018;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
6119-92-2;meptyldinocap;30/01/2018;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
6119-92-2;meptyldinocap;30/01/2018;Toxicité aiguë (par inhalation), catégorie 4;H332;Nocif par inhalation
6119-92-2;meptyldinocap;30/01/2018;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
208465-21-8;mesosulfuron methyl;04/10/2018;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
208465-21-8;mesosulfuron methyl;04/10/2018;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
104206-82-8;mesotrione;19/05/2020;Toxicité pour la reproduction, catégorie 2(d);H361d;Susceptible de nuire au foetus
104206-82-8;mesotrione;19/05/2020;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
104206-82-8;mesotrione;19/05/2020;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
104206-82-8;mesotrione;19/05/2020;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée
57837-19-1;metalaxyl;16/12/2008;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
57837-19-1;metalaxyl;16/12/2008;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
57837-19-1;metalaxyl;16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 3;H412;Nocif pour les organismes aquatiques, entraine des effets néfastes à long terme
70630-17-0;metalaxyl-M;16/12/2008;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
70630-17-0;metalaxyl-M;16/12/2008;Lésions oculaires graves, catégorie 1;H318;Provoque des lésions oculaires graves
108-62-3;metaldehyde;04/10/2019;Toxicité pour la reproduction, catégorie 2(f);H361f;Susceptible de nuire à la fertilité 
108-62-3;metaldehyde;04/10/2019;Toxicité aiguë (par voie orale), catégorie 3;H301;Toxique en cas d'ingestion
108-62-3;metaldehyde;04/10/2019;Dangers pour le milieu aquatique - Danger chronique, catégorie 3;H412;Nocif pour les organismes aquatiques, entraine des effets néfastes à long terme
108-62-3;metaldehyde;04/10/2019;Matières solides inflammables, catégorie 2;H228;Matière solide inflammable
41394-05-2;metamitrone;16/12/2008;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
41394-05-2;metamitrone;16/12/2008;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
67129-08-2;metazachlore;10/07/2012;Cancérogénicité, catégorie 2;H351;Susceptible de provoquer le cancer
67129-08-2;metazachlore;10/07/2012;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
67129-08-2;metazachlore;10/07/2012;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
67129-08-2;metazachlore;10/07/2012;Sensibilisation cutanée, catégorie 1B;H317;Peut provoquer une allergie cutanée
125116-23-6;metconazole;10/08/2009;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
125116-23-6;metconazole;10/08/2009;Toxicité pour la reproduction, catégorie 2(d);H361d;Susceptible de nuire au foetus
125116-23-6;metconazole;10/08/2009;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme
9006-42-2;Metiram;06/02/2024;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
9006-42-2;Metiram;06/02/2024;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
9006-42-2;Metiram;06/02/2024;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée
9006-42-2;Metiram;06/02/2024;Cancérogénicité, catégorie 2;H351;Susceptible de provoquer le cancer
9006-42-2;Metiram;06/02/2024;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
3060-89-7;metobromuron;30/05/2012;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
3060-89-7;metobromuron;30/05/2012;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
3060-89-7;metobromuron;30/05/2012;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée
3060-89-7;metobromuron;30/05/2012;Cancérogénicité, catégorie 2;H351;Susceptible de provoquer le cancer
3060-89-7;metobromuron;30/05/2012;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
3060-89-7;metobromuron;30/05/2012;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
220899-03-6;metrafenone;;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
220899-03-6;metrafenone;;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
21087-64-9;metribuzine;10/08/2009;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
21087-64-9;metribuzine;10/08/2009;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
21087-64-9;metribuzine;10/08/2009;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
74223-64-6;metsulfuron methyle;10/08/2009;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
74223-64-6;metsulfuron methyle;10/08/2009;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
51596-10-2;milbemectine;10/08/2009;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
51596-10-2;milbemectine;10/08/2009;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
51596-10-2;milbemectine;10/08/2009;Toxicité aiguë (par inhalation), catégorie 4;H332;Nocif par inhalation
51596-10-2;milbemectine;10/08/2009;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
15299-99-7;napropamide;;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
15299-99-7;napropamide;;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
111991-09-4;nicosulfuron;;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
111991-09-4;nicosulfuron;;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
23135-22-0;oxamyl;16/12/2008;Toxicité aiguë (par voie cutanée), catégorie 4;H312;Nocif par contact cutané
23135-22-0;oxamyl;16/12/2008;Toxicité aiguë (par voie orale), catégorie 2;H300;Mortel en cas d'ingestion
23135-22-0;oxamyl;16/12/2008;Toxicité aiguë (par inhalation), catégorie 2;H330;Mortel par inhalation
23135-22-0;oxamyl;16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme
1003318-67-9;oxathiapiprolin;19/05/2020;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
42874-03-3;oxyfluorfene;23/04/2014;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
42874-03-3;oxyfluorfene;23/04/2014;Cancérogénicité, catégorie 2;H351;Susceptible de provoquer le cancer
42874-03-3;oxyfluorfene;23/04/2014;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
76738-62-0;paclobutrazol;19/05/2020;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
76738-62-0;paclobutrazol;19/05/2020;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
76738-62-0;paclobutrazol;19/05/2020;Toxicité pour la reproduction, catégorie 2(d);H361d;Susceptible de nuire au foetus
76738-62-0;paclobutrazol;19/05/2020;Toxicité aiguë (par inhalation), catégorie 4;H332;Nocif par inhalation
76738-62-0;paclobutrazol;19/05/2020;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
76738-62-0;paclobutrazol;19/05/2020;Irritation oculaire, catégorie 2;H319;Provoque une sévère irritation des yeux
66246-88-6;penconazole;05/06/2014;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
66246-88-6;penconazole;05/06/2014;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
66246-88-6;penconazole;05/06/2014;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
66246-88-6;penconazole;05/06/2014;Toxicité pour la reproduction, catégorie 2(d);H361d;Susceptible de nuire au foetus
40487-42-1;pendimethaline;16/02/2022;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
40487-42-1;pendimethaline;16/02/2022;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
40487-42-1;pendimethaline;16/02/2022;Toxicité pour la reproduction, catégorie 2(d);H361d;Susceptible de nuire au foetus
219714-96-2;penoxsulame;;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
219714-96-2;penoxsulame;;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
183675-82-3;penthiopyrad;04/05/2017;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
183675-82-3;penthiopyrad;04/05/2017;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
106700-29-2;pethoxamid;10/08/2009;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
106700-29-2;pethoxamid;10/08/2009;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
106700-29-2;pethoxamid;10/08/2009;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
106700-29-2;pethoxamid;10/08/2009;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
13684-63-4;phenmediphame;11/03/2021;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
13684-63-4;phenmediphame;11/03/2021;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
732-11-6;phosmet;04/10/2018;Toxicité aiguë (par inhalation), catégorie 4;H332;Nocif par inhalation
732-11-6;phosmet;04/10/2018;Toxicité aiguë (par voie orale), catégorie 3;H301;Toxique en cas d'ingestion
732-11-6;phosmet;04/10/2018;Toxicité spécifique pour certains organes cibles - Exposition unique, catégorie 1;H370;Risque avéré d'effets graves pour les organes
732-11-6;phosmet;04/10/2018;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
732-11-6;phosmet;04/10/2018;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
732-11-6;phosmet;04/10/2018;Toxicité pour la reproduction, catégorie 2(f);H361f;Susceptible de nuire à la fertilité 
10045-86-0;phosphate ferrique;;Sans classement;Sans classement;Sans classement
20859-73-8;phosphure d'aluminium;02/10/2013;Toxicité aiguë (par voie cutanée), catégorie 3;H311;Toxique par contact cutané
20859-73-8;phosphure d'aluminium;02/10/2013;Toxicité aiguë (par voie orale), catégorie 2;H300;Mortel en cas d'ingestion
20859-73-8;phosphure d'aluminium;02/10/2013;Toxicité aiguë (par inhalation), catégorie 2;H330;Mortel par inhalation
20859-73-8;phosphure d'aluminium;02/10/2013;Substances et mélanges qui, au contact de l'eau, dégagent des gaz inflammables, catégorie 1;H260;Dégage, au contact de l'eau, des gaz inflammables qui peuvent s'enflammer spontanément
20859-73-8;phosphure d'aluminium;02/10/2013;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
12057-74-8;phosphure de magnesium;02/10/2013;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
12057-74-8;phosphure de magnesium;02/10/2013;Substances et mélanges qui, au contact de l'eau, dégagent des gaz inflammables, catégorie 1;H260;Dégage, au contact de l'eau, des gaz inflammables qui peuvent s'enflammer spontanément
