Numero CAS;NOM SA;CLASSEMENT RÉFÉRENCE;CLASSEMENT DATE;CLASSEMENT CATÉGORIE DANGER;CLASSEMENT CODE H;CLASSEMENT MENTION DANGER;FACTEUR M VALEUR;FACTEUR M ORIGINE;FACTEUR M DATE
10004-44-1;hymexazol;Règlement (UE) N°2020/1182 (15e ATP au Règlement 1272/2008);19/05/2020;Lésions oculaires graves, catégorie 1;H318;Provoque des lésions oculaires graves;;;
10004-44-1;hymexazol;Règlement (UE) N°2020/1182 (15e ATP au Règlement 1272/2008);19/05/2020;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;;UE;19/05/2020
10004-44-1;hymexazol;Règlement (UE) N°2020/1182 (15e ATP au Règlement 1272/2008);19/05/2020;Toxicité pour la reproduction, catégorie 2(d);H361d;Susceptible de nuire au foetus;;;
35554-44-0;imazalil;Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008);24/07/2015;Toxicité aiguë (par voie orale), catégorie 3;H301;Toxique en cas d'ingestion;;;
35554-44-0;imazalil;Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008);24/07/2015;Toxicité aiguë (par inhalation), catégorie 4;H332;Nocif par inhalation;;;
35554-44-0;imazalil;Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008);24/07/2015;Lésions oculaires graves, catégorie 1;H318;Provoque des lésions oculaires graves;;;
35554-44-0;imazalil;Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008);24/07/2015;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;10;UE;24/07/2015
35554-44-0;imazalil;Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008);24/07/2015;Cancérogénicité, catégorie 2;H351;Susceptible de provoquer le cancer;;;
114311-32-9;imazamox;Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008);11/03/2021;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;10;UE;11/03/2021
114311-32-9;imazamox;Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008);11/03/2021;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;10;UE;11/03/2021
114311-32-9;imazamox;Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008);11/03/2021;Toxicité pour la reproduction, catégorie 2(d);H361d;Susceptible de nuire au foetus;;;
144550-36-7;iodosulfuron;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;100;ANSES;26/09/2017
144550-36-7;iodosulfuron;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;100;ANSES;26/09/2017
125225-28-7;ipconazole;Règlement (UE) N°2020/1182 (15e ATP au Règlement 1272/2008);19/05/2020;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion;;;
125225-28-7;ipconazole;Règlement (UE) N°2020/1182 (15e ATP au Règlement 1272/2008);19/05/2020;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;100;UE;31/08/2023
125225-28-7;ipconazole;Règlement (UE) N°2020/1182 (15e ATP au Règlement 1272/2008);19/05/2020;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;;;
125225-28-7;ipconazole;Règlement (UE) N°2020/1182 (15e ATP au Règlement 1272/2008);19/05/2020;Toxicité pour la reproduction, catégorie 1B(D);H360D;Peut nuire au foetus;;;
140923-17-7;iprovalicarbe;Règlement (UE) N°2020/1182 (15e ATP au Règlement 1272/2008);19/05/2020;Cancérogénicité, catégorie 2;H351;Susceptible de provoquer le cancer;;;
875915-78-9;isofétamide;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;14/03/2017;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;;;
881685-58-1;isopyrazam;Règlement (UE) N°2022-692 (18e ATP au Règlement 1272/2008);16/02/2022;Toxicité pour la reproduction, catégorie 1B(D);H360D;Peut nuire au foetus;;;
881685-58-1;isopyrazam;Règlement (UE) N°2022-692 (18e ATP au Règlement 1272/2008);16/02/2022;Sensibilisation cutanée, catégorie 1B;H317;Peut provoquer une allergie cutanée;;;
881685-58-1;isopyrazam;Règlement (UE) N°2022-692 (18e ATP au Règlement 1272/2008);16/02/2022;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;10;UE;16/02/2022
881685-58-1;isopyrazam;Règlement (UE) N°2022-692 (18e ATP au Règlement 1272/2008);16/02/2022;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;10;UE;16/02/2022
881685-58-1;isopyrazam;Règlement (UE) N°2022-692 (18e ATP au Règlement 1272/2008);16/02/2022;Cancérogénicité, catégorie 2;H351;Susceptible de provoquer le cancer;;;
82558-50-7;isoxaben;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 4;H413;Peut être nocif à long terme pour les organismes aquatiques;;;
141112-29-0;isoxaflutole;Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008);24/07/2015;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;100;UE;17/06/2019
141112-29-0;isoxaflutole;Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008);24/07/2015;Toxicité pour la reproduction, catégorie 2(d);H361d;Susceptible de nuire au foetus;;;
141112-29-0;isoxaflutole;Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008);24/07/2015;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;10;UE;17/06/2019
1332-58-7;kaolin;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;;Sans classement;Sans classement;Sans classement;;;
61790-53-2;kieselgur (terre à diatomées);Sans classement toxicologique;01/04/2013;Sans classement;Sans classement;Sans classement;;;
143390-89-0;kresoxim methyl;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;1;;
143390-89-0;kresoxim methyl;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Cancérogénicité, catégorie 2;H351;Susceptible de provoquer le cancer;;;
143390-89-0;kresoxim methyl;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;1;;
91465-08-6;lambda cyhalothrine;Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008);10/08/2009;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;10000;UE;10/08/2009
91465-08-6;lambda cyhalothrine;Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008);10/08/2009;Toxicité aiguë (par voie cutanée), catégorie 4;H312;Nocif par contact cutané;;;
91465-08-6;lambda cyhalothrine;Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008);10/08/2009;Toxicité aiguë (par inhalation), catégorie 2;H330;Mortel par inhalation;;;
91465-08-6;lambda cyhalothrine;Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008);10/08/2009;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;10000;UE;10/08/2009
91465-08-6;lambda cyhalothrine;Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008);10/08/2009;Toxicité aiguë (par voie orale), catégorie 3;H301;Toxique en cas d'ingestion;;;
9008-22-4;laminarine;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;19/02/2008;Sans classement;Sans classement;Sans classement;;;
2164-08-1 ;lenacile;Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008);24/07/2015;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;10;UE;24/07/2015
2164-08-1 ;lenacile;Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008);24/07/2015;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;10;UE;24/07/2015
2164-08-1 ;lenacile;Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008);24/07/2015;Cancérogénicité, catégorie 2;H351;Susceptible de provoquer le cancer;;;
9050-36-6;maltodextrine;Classification adaptée par l'Anses selon les conclusions de l'EFSA;27/10/2015;Sans classement;Sans classement;Sans classement;;;
173662-97-0;mandestrobine;Règlement (UE) No 2020/217 (14e ATP au Règlement No 1272/2008);04/10/2020;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;10;UE;18/12/2020
173662-97-0;mandestrobine;Règlement (UE) No 2020/217 (14e ATP au Règlement No 1272/2008);04/10/2020;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;1;UE;18/12/2020
374726-62-2;mandipropamide;Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008);24/07/2015;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;1;UE;24/07/2015
374726-62-2;mandipropamide;Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008);24/07/2015;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;1;UE;24/07/2015
94-74-6;MCPA;Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008);10/08/2009;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion;;;
94-74-6;MCPA;Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008);10/08/2009;Lésions oculaires graves, catégorie 1;H318;Provoque des lésions oculaires graves;;;
94-74-6;MCPA;Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008);10/08/2009;Irritant pour la peau, catégorie 2;H315;Provoque une irritation cutanée;;;
94-74-6;MCPA;Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008);10/08/2009;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;1;ANSES;18/03/2014
94-74-6;MCPA;Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008);10/08/2009;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;1;ANSES;18/03/2014
94-81-5;MCPB;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;;;
94-81-5;MCPB;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;;;
16484-77-8;mecoprop-P;Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008);11/03/2021;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion;;;
16484-77-8;mecoprop-P;Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008);11/03/2021;Lésions oculaires graves, catégorie 1;H318;Provoque des lésions oculaires graves;;;
16484-77-8;mecoprop-P;Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008);11/03/2021;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;10;UE;11/03/2021
16484-77-8;mecoprop-P;Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008);11/03/2021;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;10;UE;11/03/2021
135590-91-9;mefenpyr diethyl;"	Classement adapté par l’ANSES selon les règles de traduction du règlement CLP";10/05/2022;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;;;
1417782-03-6;méfentrifluconazole;Règlement (UE) N°2020/1182 (15e ATP au Règlement 1272/2008);19/05/2020;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;1;UE;19/05/2020
1417782-03-6;méfentrifluconazole;Règlement (UE) N°2020/1182 (15e ATP au Règlement 1272/2008);19/05/2020;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée;;;
1417782-03-6;méfentrifluconazole;Règlement (UE) N°2020/1182 (15e ATP au Règlement 1272/2008);19/05/2020;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;1;UE;19/05/2020
"a-terpi: 99-86-5; p-cym: 99-87-6; d-limo:5986-27-5";Mélange de terpénoïdes QRD 460;"	Classement adapté par l’ANSES selon les règles de traduction du règlement CLP";09/07/2019;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion;;;
"a-terpi: 99-86-5; p-cym: 99-87-6; d-limo:5986-27-5";Mélange de terpénoïdes QRD 460;"	Classement adapté par l’ANSES selon les règles de traduction du règlement CLP";09/07/2019;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;1;ANSES;23/10/2018
"a-terpi: 99-86-5; p-cym: 99-87-6; d-limo:5986-27-5";Mélange de terpénoïdes QRD 460;"	Classement adapté par l’ANSES selon les règles de traduction du règlement CLP";09/07/2019;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;1;ANSES;23/10/2018
"a-terpi: 99-86-5; p-cym: 99-87-6; d-limo:5986-27-5";Mélange de terpénoïdes QRD 460;"	Classement adapté par l’ANSES selon les règles de traduction du règlement CLP";09/07/2019;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée;;;
"a-terpi: 99-86-5; p-cym: 99-87-6; d-limo:5986-27-5";Mélange de terpénoïdes QRD 460;"	Classement adapté par l’ANSES selon les règles de traduction du règlement CLP";09/07/2019;Danger par aspiration, catégorie 1;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;;;
110235-47-7;mepanipyrim;Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008);10/08/2009;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;1;ANSES;20/01/2015
110235-47-7;mepanipyrim;Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008);10/08/2009;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;1;ANSES;20/01/2015
110235-47-7;mepanipyrim;Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008);10/08/2009;Cancérogénicité, catégorie 2;H351;Susceptible de provoquer le cancer;;;
24307-26-4;mepiquat-chlorure;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 3;H412;Nocif pour les organismes aquatiques, entraine des effets néfastes à long terme;;;
24307-26-4;mepiquat-chlorure;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion;;;
6119-92-2;meptyldinocap;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;30/01/2018;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;100;ANSES;29/09/2015
6119-92-2;meptyldinocap;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;30/01/2018;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée;;;
6119-92-2;meptyldinocap;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;30/01/2018;Toxicité aiguë (par inhalation), catégorie 4;H332;Nocif par inhalation;;;
6119-92-2;meptyldinocap;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;30/01/2018;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;1000;ANSES;29/09/2015
208465-21-8;mesosulfuron methyl;Règlement (UE) N°2018/1480 (13e ATP au Règlement 1272/2008);04/10/2018;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;100;UE;04/10/2018
208465-21-8;mesosulfuron methyl;Règlement (UE) N°2018/1480 (13e ATP au Règlement 1272/2008);04/10/2018;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;100;UE;04/10/2018
104206-82-8;mesotrione;Règlement (UE) N°2020/1182 (15e ATP au Règlement 1272/2008);19/05/2020;Toxicité pour la reproduction, catégorie 2(d);H361d;Susceptible de nuire au foetus;;;
104206-82-8;mesotrione;Règlement (UE) N°2020/1182 (15e ATP au Règlement 1272/2008);19/05/2020;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;10;UE;19/05/2020
104206-82-8;mesotrione;Règlement (UE) N°2020/1182 (15e ATP au Règlement 1272/2008);19/05/2020;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;10;UE;19/05/2020
104206-82-8;mesotrione;Règlement (UE) N°2020/1182 (15e ATP au Règlement 1272/2008);19/05/2020;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;;;
57837-19-1;metalaxyl;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée;;;
57837-19-1;metalaxyl;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion;;;
57837-19-1;metalaxyl;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 3;H412;Nocif pour les organismes aquatiques, entraine des effets néfastes à long terme;;;
70630-17-0;metalaxyl-M;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion;;;
70630-17-0;metalaxyl-M;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Lésions oculaires graves, catégorie 1;H318;Provoque des lésions oculaires graves;;;
108-62-3 (tetramer);metaldehyde;Règlement (UE) N°2020/217 (14e ATP au Règlement 1272/2008);04/10/2019;Toxicité pour la reproduction, catégorie 2(f);H361f;Susceptible de nuire à la fertilité ;;;
108-62-3 (tetramer);metaldehyde;Règlement (UE) N°2020/217 (14e ATP au Règlement 1272/2008);04/10/2019;Toxicité aiguë (par voie orale), catégorie 3;H301;Toxique en cas d'ingestion;;;
108-62-3 (tetramer);metaldehyde;Règlement (UE) N°2020/217 (14e ATP au Règlement 1272/2008);04/10/2019;Dangers pour le milieu aquatique - Danger chronique, catégorie 3;H412;Nocif pour les organismes aquatiques, entraine des effets néfastes à long terme;;;
108-62-3 (tetramer);metaldehyde;Règlement (UE) N°2020/217 (14e ATP au Règlement 1272/2008);04/10/2019;Matières solides inflammables, catégorie 2;H228;Matière solide inflammable;;;
41394-05-2;metamitrone;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;1;ANSES;19/06/2012
41394-05-2;metamitrone;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion;;;
67129-08-2;metazachlore;Règlement (UE) N°618/2012 (3e ATP au Règlement 1272/2008);10/07/2012;Cancérogénicité, catégorie 2;H351;Susceptible de provoquer le cancer;;;
67129-08-2;metazachlore;Règlement (UE) N°618/2012 (3e ATP au Règlement 1272/2008);10/07/2012;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;100;UE;10/07/2012
67129-08-2;metazachlore;Règlement (UE) N°618/2012 (3e ATP au Règlement 1272/2008);10/07/2012;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;100;UE;10/07/2012
67129-08-2;metazachlore;Règlement (UE) N°618/2012 (3e ATP au Règlement 1272/2008);10/07/2012;Sensibilisation cutanée, catégorie 1B;H317;Peut provoquer une allergie cutanée;;;
125116-23-6 (unstated stereochemistry);metconazole;Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008);10/08/2009;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion;;;
125116-23-6 (unstated stereochemistry);metconazole;Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008);10/08/2009;Toxicité pour la reproduction, catégorie 2(d);H361d;Susceptible de nuire au foetus;;;
125116-23-6 (unstated stereochemistry);metconazole;Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008);10/08/2009;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;;;
9006-42-2;Metiram;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;06/02/2024;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;10;ANSES;19/03/2013
9006-42-2;Metiram;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;06/02/2024;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée;;;
9006-42-2;Metiram;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;06/02/2024;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;;;
9006-42-2;Metiram;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;06/02/2024;Cancérogénicité, catégorie 2;H351;Susceptible de provoquer le cancer;;;
9006-42-2;Metiram;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;06/02/2024;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;10;ANSES;19/03/2013
3060-89-7;metobromuron;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;30/05/2012;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion;;;
3060-89-7;metobromuron;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;30/05/2012;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée;;;
3060-89-7;metobromuron;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;30/05/2012;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;;;
3060-89-7;metobromuron;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;30/05/2012;Cancérogénicité, catégorie 2;H351;Susceptible de provoquer le cancer;;;
3060-89-7;metobromuron;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;30/05/2012;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;1;ANSES;14/05/2013
3060-89-7;metobromuron;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;30/05/2012;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;1;ANSES;14/05/2013
220899-03-6;metrafenone;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;;;
220899-03-6;metrafenone;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;;;
21087-64-9;metribuzine;Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008);10/08/2009;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion;;;
21087-64-9;metribuzine;Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008);10/08/2009;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;10;UE;10/08/2009
21087-64-9;metribuzine;Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008);10/08/2009;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;10;UE;10/08/2009
74223-64-6;metsulfuron methyle;Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008);10/08/2009;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;1000;ANSES;03/01/2013
74223-64-6;metsulfuron methyle;Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008);10/08/2009;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;1000;ANSES;03/01/2013
51596-10-2;milbemectine;Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008);10/08/2009;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;100;UE;01/12/2016
51596-10-2;milbemectine;Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008);10/08/2009;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;100;UE;01/12/2016
51596-10-2;milbemectine;Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008);10/08/2009;Toxicité aiguë (par inhalation), catégorie 4;H332;Nocif par inhalation;;;
51596-10-2;milbemectine;Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008);10/08/2009;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion;;;
15299-99-7;napropamide;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;1;ANSES;19/03/2013
15299-99-7;napropamide;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;1;ANSES;19/03/2013
111991-09-4;nicosulfuron;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;100;ANSES;18/06/2013
111991-09-4;nicosulfuron;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;100;ANSES;18/06/2013
